Timestamp,course,ccm_website,social_media,community_event,family_friend_referral,current_student,alumni,hs_teacher,hs_counselor,app_advertisement,employer,billboard,tv,radio,mailer,other_ref,To what extent did the following impact your decision to attend County College of Morris? [Affordable cost],convenient_location,school_programs,online_offers,family_friend_impact,faculty_staff,reputation,financial_aid,scholarships,class_size,extra_curriculars,transfer_credits,negative_other_college_experience,nj_stars,credit_transferability,hs_college_credit,instant_decision_day,titans_tuesday,college_fair_regional,challenger_program,hs_info_session,individual_campus_visit,corporate_training,CCM_summer_camp,hs_computing_class,computing_competitions,summer_computing_club,dual_enrollment_computing,family_in_computing_field,employer_impact,work_xp_impact,current_degree,bachelors_prog,HS_transfer_credits,career_progress,career_change,pro_development,job_displacement,relocation,stay_updated,IT_industry_cert,financial_motivation,personal_motivation,info_from_counselor,info_from_teacher,ccm_it_website,info_from_admissions,info_from_advisor,info_from_employer,ccm_workforce_dev,nj_workforce_dev,info_from_misc,first_choice_major,interest_level,interest_in_computing,gender,race,Age 
2022/10/13 6:05:49 PM EST,CMP 239 Internet & Web Page Design,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,Yes,No,No,,,,,High Impact,,,Computer Science,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Engineering,,,Woman,Asian,21-24
2022/10/13 6:09:28 PM EST,CMP 239 Internet & Web Page Design,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,Yes,No,No,No,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,First Choice,,,Man,Asian,25-34
2022/10/13 6:29:46 PM EST,CMP 239 Internet & Web Page Design,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,No,No,No,Yes,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,Computer Science,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Criminal Justice,,,Man,White,19-20
2022/10/13 6:32:22 PM EST,CMP 239 Internet & Web Page Design,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,Yes,Yes,No,No,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Information Technology,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,White,21-24
2022/10/13 6:32:48 PM EST,CMP 239 Internet & Web Page Design,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,Yes,No,No,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Digital Media Technology,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,Multi-Racial,21-24
2022/10/13 6:43:13 PM EST,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,,,,,,No,No,No,No,No,No,No,No,Some Impact,,,,High Impact,,,Information Technology,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,White,21-24
2022/10/13 7:17:40 PM EST,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,,Some Impact,Some Impact,,High Impact,Some Impact,High Impact,,,High Impact,High Impact,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,First Choice,,,Woman,Multi-Racial,21-24
2022/10/14 10:10:21 AM EST,CMP 239 Internet & Web Page Design,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,High Impact,No Impact,,,High Impact,,No Impact,Digital Media Technology,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Computer Science,,,Man,Hispanic/Latino,21-24
2022/10/14 10:40:13 AM EST,CMP 128 Computer Science I,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,,High Impact,Some Impact,,,,High Impact,,Yes,No,Yes,No,Yes,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Engineering,,,Man,Multi-Racial,21-24
2022/10/14 12:12:08 PM EST,CMP 128 Computer Science I,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,,,,High Impact,No Impact,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,Asian,19-20
